海上风电场开发,马萨诸塞海岸,开发可能影响渔业和导航,"进行环境评估、考虑替代设计（如船舶通道）",Vineyard Wind、美国海洋能源管理局（BOEM）,无具体数据，但项目预计为400000家庭供电
发动机性能优化,全球,发动机排放,使用ABB Ability Tekomar XPERT进行连续评估和优化,ABB Turbocharging,无具体数据，但旨在减少燃料消耗和排放
深海采矿废物处理,印尼Obi Island和Morowali,采矿废物,"考虑废物处理请求、但需控制环境影响",印尼政府、Harita Group、Tsingshan Group,无具体数据，但强调最小化环境影响
可持续供应链,全球,传统供应链排放,"使用3D打印和无人机交付减少浪费和排放",Wilhelmsen、F-drones,无具体数据，但声称更快、更便宜、更环保
驳船搁浅污染风险,"St. Marys River, Michigan",搁浅驳船（煤焦油和柴油）,"制定打捞计划、建立安全区、调查污染",Purvis Marine、美国海岸警卫队,无污染泄漏报告，但正在处理中
可持续游艇设计,全球,游艇排放,使用混合推进和太阳能板,Wärtsilä、Stefano Pastrovich,最小环境影响，高能效
生物污垢管理,新西兰,船舶生物污垢（外来物种）,"随机船体检查、问卷调查",新西兰生物安全局、Cawthron Institute,无具体数据，但旨在识别风险因素和改善生物安全
港口升级促进可持续运输,斯德哥尔摩,港口运营排放,"转向新港口（Stockholm Norvik Port）、更高效处理",Ports of Stockholm、Hutchison Ports,无具体数据，但声称更可持续和高效
固体废物运输禁令,中国,固体废物（如废纸、塑料、金属）,停止接受固体废物运输,Hapag-Lloyd,避免违规罚款，支持中国废物进口禁令
智能SOV开发,海上风电场,船舶排放,"自动化导航和操作、减少燃料消耗",Royal IHC,预期节省时间和燃料消耗，具体数据待模拟器测试
环保推进器,全球,船舶噪音和排放,"使用可伸缩轮缘推进器（SRT-R）、低噪音、生物降解油",SCHOTTEL,无具体数据，但声称低噪音和振动，符合环保法规
新油驳船交付符合环保标准,墨西哥湾,船舶氮氧化物排放,建造符合MARPOL Annex VI Tier III标准的驳船,Greenbrier Marine, "OSG,减少氮氧化物排放（符合标准，但无具体数据）"
航运业 decarbonization,全球航运,船舶温室气体排放,"过渡到低零碳燃料（如LNG、甲醇、氢）、电气化、碳捕获",船东、行业、监管机构,"到2050年标准场景下化石燃料依赖40%；可能达不到IMO 50%减排目标"
使用能源效率软件减少排放,海上船舶运营,船舶燃料消耗和排放,部署Maress软件监控燃料消耗和排放,"Eidesvik Offshore, Yxney Maritime",减少排放（无具体数据）
安装球囊水处理系统（BWTS）,葡萄牙港口,船舶球囊水排放,安装BWTS,Navalrocha Shipyard,未提及
船舶回收指南发布,全球,船舶回收不当导致的污染,发布指南确保安全可持续回收,DNV GL,未提及
柴油外挂发动机减少排放,海上船只,汽油发动机排放,"使用柴油外挂发动机，减少燃料消耗","OXE Marine, Cox Powertrain","燃料节省30-42%，操作范围增加70%"
邮轮使用岸电减少排放,汉堡港,船舶在港排放,"使用岸电（冷ironing），电源来自可再生能源","Hapag-Lloyd Cruises, Hamburg Energie","减少600吨CO2，排放 practically zero"
回收丢失集装箱,澳大利亚新南威尔士沿海,集装箱丢失导致海洋污染（如口罩等物品）,命令船东搜索和回收丢失集装箱,"APL (CMA CGM), ANL","已回收15个集装箱，35个仍丢失；物品冲上岸"
混合电力推进系统用于渡轮,华盛顿州水域,柴油渡轮排放,"使用混合电力推进和能源存储系统，计划充电能力","ABB, Vigor, Washington State Ferries","减少燃料消耗 up to 95%，CO2排放低于2050目标 by 2034"
火灾控制与污染预防,杰克逊维尔港,船舶火灾可能导致油污泄漏,"控制火势，放置围油栏","Jacksonville Fire and Rescue, Resolve Marine Group",无污染报告
智能港口服务优化运营减少排放,全球港口,船舶运营排放,"使用AI预测优化港口呼叫，减少等待时间和燃料消耗",Awake.AI,减少燃料消耗（无具体数据）
收购PSV配备电池能源存储系统,海上,船舶燃料消耗,使用电池能源存储系统减少燃料消耗,Seacor Marine,燃料节省（无具体数据）
新拖船订购减少排放,奥胡斯港,拖船排放,"订购新拖船，使用更高效发动机，减少CO2排放","Port of Aarhus, Uzmar Shipyard",减少CO2排放（无具体数据）
机器人船减少排放,海上,传统船舶排放,"使用机器人船，减少燃料消耗和排放","Kongsberg Maritime, Ocean Infinity",减少 up to 90% CO2
安全运输甲醇指南,海上,甲醇泄漏,发布指南确保安全装载、运输和卸载,"OCIMF, MSF",未提及
研究海洋噪音减少对海洋生物的影响,全球海洋,人类噪音污染（船舶等）,利用疫情减少噪音的机会进行研究,科学家、研究机构,鲸鱼行为变化（无具体数据）；录音比较进行中
船舶凿沉防止污染,巴西沿海,船舶搁浅可能导致污染,移除燃料和货物后凿沉,Polaris Shipping巴西海军,剩余货物不构成环境风险
电缆铺设船用于海上风电,海上风电场,支持清洁能源替代化石燃料,建造电缆铺设船支持海上风电,"Ulstein, Nexans",未提及
自主SOV用于海上风电,海上风电场,传统船舶排放,"开发自主SOV,提高操作效率","MARIN, IHC",未提及
Optimarin Completes IMO G8 and USCG Test Program,全球,压载水中的入侵物种,测试和认证压载水处理系统（OBS）,Optimarin,"符合IMO G8和USCG要求，确保零排放到两小时保持时间合规；已销售约1000套系统，650多套安装运行"
Shipping Emissions to Be Included in EU Carbon Market,欧盟水域,船舶二氧化碳排放,"将航运纳入欧盟排放交易系统（ETS），设立海洋基金，绑定目标到2030年减少40% CO2排放",欧盟立法者、环境委员会,"目标是减少排放；全球海事排放预计到2050年增长50-250%，但政策旨在遏制"
NZ Companies Collaborate to Build Electric Ferries,新西兰港口城市,柴油渡轮排放,"建造电池供电的电动渡轮，使用HamiltonJet的EHX电混合驱动",HamiltonJet和EV Maritime,"零排放，近乎无声操作，降低运营成本；分析显示很少有近海通勤渡轮操作需要使用柴油"
Damen Ramping Up Composites Shipbuilding,全球航运,船舶排放,"使用复合材料建造船舶，重量减轻40%，减少燃料消耗和排放","Damen Schelde Naval Shipbuilding等（RAMSSES项目）","复合材料船可减少全球变暖潜力、气溶胶形成潜力、富营养化潜力、酸化潜力和燃料消耗高达25%"
Chinese Study Examining Methanol as a Marine Fuel,中国水域,传统船用燃料排放,研究甲醇作为清洁燃烧船用燃料的技术和操作要求,"中国水运科学研究院（CWTRI）、甲醇研究所（MI）、Methanex、上海华谊能源化学",甲醇是安全、合规的低闪点船用燃料；中国是全球最大的甲醇生产国和消费国
Wabtec to Supply Engines for Marad's NSMV Fleet,美国水域,船舶发动机排放,"供应V250系列柴油发动机，减少空气排放高达70%，符合EPA Tier 4和IMO Tier III标准，无需尿素后处理",Wabtec Corporation,"减少排放高达70%，节省船载空间75%，降低维护成本"
LISCR Hires Former USCG LNG Expert,全球,传统燃料排放,加强LNG和海上技术能力，推广LNG作为船用燃料,LISCR（利比里亚国际船舶和公司注册处）,增加LNG新造船订单；LNG减少排放
Thordon Plays Key Role in AOPS,"加拿大北极和近海",船舶润滑油污染,使用COMPAC水润滑螺旋桨轴承，零污染风险,Thordon Bearings、Irving Shipbuilding,轴承磨损率低，减少维护；超过45个海军和海岸警卫队指定COMPAC为标准
Pandemic Forces Ship Owners to Shelve Scrubber Installs,全球航运,船舶硫排放,"安装洗涤器以去除硫排放，但许多推迟或取消 due to COVID-19","船东如Wallenius Wilhemsen、Scorpio Tankers等","洗涤器投资回报期延长；高低硫燃料价差从300美元/吨降至40美元/吨；但使用洗涤器仍可减少硫排放"
Nexans to Deliver Cables for Giant Offshore Wind Farm in Scotland,苏格兰海岸（北海）,化石燃料发电排放,提供高压出口电缆，用于海上风电场，促进可再生能源,Nexans、SSE Renewables,项目完成后将成为苏格兰最大风电场，容量1075兆瓦，减少碳排放
Partners Aim to Build Zero-emissions Ferries in Belfast,贝尔法斯特港口城市,柴油渡轮排放,"开发零排放高速渡轮，使用电动水翼推进系统，减少能源使用高达90%",Artemis Technologies领导的爱尔兰海事联盟,"零排放操作；项目投资6000万英镑，创造125个研发岗位，未来10年超过1000个岗位"
Marine Salvage and SMFF Regulations,美国水域,石油泄漏,"根据OPA 90和SMFF法规，进行打捞和污染响应，确保有效移除",美国海岸警卫队、打捞公司,强调法规完整性以防止环境损害；Golden Ray响应中政策被规避，但理想情况下应有效
ABB's Hybrid Power and Propulsion for Færøysund Live Fish Carrier,挪威水域,船舶排放,"提供混合动力和推进解决方案，包括能源存储，用于峰值削峰和零排放操作","ABB、Aas Mek. Verksted AS、Nova Sea Service AS",减少燃料消耗和CO2排放；在敏感区域实现零排放操作
Ireland Publishes Marine Spill Response Plan,爱尔兰专属经济区（EEZ）,石油和HNS（有害和有毒物质）泄漏,国家框架和战略，协调海洋污染准备和响应,爱尔兰运输、旅游和体育部、爱尔兰海岸警卫队,计划符合国际公约，提供最佳实践框架
UK Startup to Apply Aviation Fuel Tracker for Shipping,全球航运,船舶燃料消耗和排放,"使用软件跟踪燃料使用性能，通过行为提示提高效率",Signol、University College London's Energy Institute,"在航空试验中节省610万美元燃料成本，减少24,000吨碳排放；在航运中，速度减少可削减CO2排放13-34%"
Gallery: Incat's Hybrid CTVs for Offshore Wind Sector Under Construction,北海（Hornsea 2风电场）,传统CTV排放,"建造混合动力猫amarán船员转移船，使用电动马达，减少排放",Incat Crowther、MHO-Co、AFAI Southern Shipyard,零排放模式；减少排放 across operating modes
"挖泥船使用生物燃料减排","佛兰德港口和英国","船舶燃料排放","使用100%可再生第二代生物燃料油","Jan De Nul Group,MAN Energy Solutions,GoodFuels","减少化石CO2排放85%"
"船舶拆解安全治理","南亚","船舶拆解污染","授予资金用于六个项目，包括危害识别、风险评价、制定技术指南、提高透明度等","Engineering X",""
"石油泄漏风险治理","也门红海海岸","老化油轮可能泄漏石油","技术评估和初始修复","联合国",""
"船舶电动推进器减排","全球海洋","船舶排放","使用电动Voith Schneider推进器","Østensjø,Voith",""
"电动拖船减排","新西兰奥克兰港","船舶排放","使用全电动拖船","Ports of Auckland,Damen","贡献零排放目标 by 2040"
"海上风电发展","纽约海岸","化石燃料发电","建设海上风电场","纽约州政府,NYSERDA","潜在提供9000兆瓦 by 2035"
"氢电系统减排","全球海洋","船舶排放","使用氢电系统","eCap,Re-Fire Technology,DNV GL",""
"FPSO拆解治理","挪威罗加兰","FPSO退役污染","拆解和回收","AF Gruppen,Shell","项目完成 by 2024"
"海上退役治理","北海、墨西哥湾、亚太","海上结构退役污染","联盟提供全面退役服务","OOS International,Lloyd’s Register,Worley",""
"新船使用环保技术减少排放","太平洋西海岸","船舶排放","使用Tier 3双燃料发动机，减少颗粒物和氮氧化物排放","Matson公司,General Dynamics NASSCO船厂","颗粒物排放减少40%，氮氧化物排放减少20%"
"数字解决方案优化船舶性能减少环境影响","全球","船舶能源消耗和排放","使用软件工具进行船舶性能监控、天气路由等，优化能源消耗","Kongsberg Digital","无具体效果数据"
"LNG作为低碳燃料选项","全球","船舶使用重燃料油导致的CO2排放","使用LNG燃料，结合技术改进；生物LNG和合成LNG可能提供碳中性推进","ABS,船东","从重燃料油切换到LNG可减少碳足迹高达20%；Tier 3发动机减少颗粒物40%，氮氧化物20%"
"开发海上风电农场提供清洁能源","日本海域","传统能源导致的温室气体排放","建设海上风电农场","日本政府,METI,MLIT","目标到2030/31年累计10 GW容量；每年1 GW"
"海洋数据采集用于环境评估","墨西哥湾,墨西哥海域","石油和天然气活动潜在污染","使用研究船进行沉积物采样、水柱调查等，评估环境影响","TDI-Brooks,Total,Cairn Energy","完成环境项目，无具体效果数据"
"北极科学考察研究气候变化","北极（楚科奇海、加拿大海盆等）","气候变化相关污染","科学研究，提高对气候变化的科学理解","中国自然资源部,极地研究机构","无具体效果数据"
"高速工作船用于环境调查和检查","挪威水域","水产养殖和环境评估潜在污染","使用技术支持的船只进行环境监测和调查","ProZero International,水产养殖承包商","无具体效果数据"
"监测渔船队保护敏感海洋区域","加拉帕戈斯群岛专属经济区","过度捕捞导致濒危物种减少","增加巡逻，确保船只不进入专属经济区","厄瓜多尔海军,国防部","无具体效果数据"
"无人机监测船舶排放","丹麦大贝尔特海峡","船舶排放硫氧化物","使用无人机“嗅探”技术监测硫含量，确保合规","欧洲海事安全局（EMSA）,丹麦环境保护局,丹麦海事局","试验进行中，无具体效果数据"
"自主守护船概念，环保设计","海上风电场等","传统守护船排放","使用电池动力和太阳能面板，零排放；减少水下噪音","C-Job Naval Architects,SeaZip Offshore Service,Sea Machines等","无具体效果数据"
"零排放渡轮交付","哥本哈根","渡轮排放","使用零排放推进，计算流体动力学优化设计，远程监控","Damen Shipyards Group,Arriva Denmark,Movia","减少NOx排放2.5%，CO2排放10%，颗粒物排放66%"
"停止固体废物运输","中国和香港","固体废物进口","停止接受固体废物运输","Maersk","从2020年9月1日起生效；旨在遵守2021年零固体废物进口要求"
"海底测绘和海洋研究","珊瑚海海洋公园,澳大利亚东部水域","气候变化和环境影响","高分辨率海底测绘和视频调查，了解深海礁石","Schmidt Ocean Institute (SOI),James Cook University","测绘35,500平方公里海底，发现30个珊瑚环礁等；未发现80米以下珊瑚白化"
"混合动力船员转移船","海上风电场","船舶排放","使用混合推进系统，电动和柴油发动机，低速度零排放","High Speed Transfers,Diverse Marine,Chartwell Marine","无具体效果数据"
"FPSO压缩机系统减少排放","巴西坎波斯盆地","石油生产中的闪蒸气体","使用螺杆压缩机作为蒸汽回收单元，将闪蒸气体加压回输过程，减少CO2排放","MAN Energy Solutions,Yinson","无具体效果数据"
"渔网回收利用减少海洋污染","泰国沿海","废弃渔网导致海洋污染","支付渔民回收渔网，制成面罩、消毒瓶等产品","Environmental Justice Foundation (EJF),Qualy设计公司","收集超过1.3吨废弃渔网；已售出超过100,000个推杆"
"收购公司提供清洁技术解决方案","全球","船舶和海上设施排放","提供废气清洁系统、压载水处理系统等，改善环境性能","Envoy Group,Avantis Marine","无具体效果数据"
"集装箱积载改革防止事故","全球航运","误报或积载不当的危险货物导致火灾和污染","采用全面方法，包括检查、监控、安全文化","National Cargo Bureau (NCB),行业利益相关者","检查显示55%集装箱不合规，43%积载不当，6.5%误报危险货物；2019年报告9起主要集装箱船火灾"
"拖船推进系统升级","奥胡斯港","船舶排放","使用混合系统SYDRIVE-M减少燃料消耗和排放","SCHOTTEL公司","未提及具体数据"
"港口疏浚维护","阿拉斯加港库克湾","沉积物堆积影响航道","使用挖泥船进行疏浚并保护海洋哺乳动物如白鲸","美国陆军工程兵团阿拉斯加分区","每年收集大量沉积物如2020年估计110万立方码保持航道畅通"
"电动渡轮交付","挪威峡湾","船舶排放","使用全电动推进实现零排放","The Fjords公司","完全零排放和安静运营"
"船用润滑剂选择","全球海洋","发动机污染","使用具有清洁和中和能力的润滑剂如Castrol Cyltech 40SX","Castrol公司","减少发动机污染和提高效率但未提及具体数据"
"LNG燃料渡轮海试","瓦登海","船舶排放","使用LNG作为唯一燃料减少NOx CO2和噪音","Rederij Doeksen公司","减少排放但未提及具体数据"
"散货船推进升级","挪威沿海","船舶排放","安装电动混合系统使用电池和发电机","SCHOTTEL现代化和转换团队","减少环境影响和提高操纵性但未提及具体数据"
"环保散货船建造","欧洲海域","船舶排放","使用混合动力系统和电池系统减少排放","Colombo Dockyard PLC","较低排放输出相比传统散货船"
"巡逻船发射","新加坡港","油污等海洋污染","配备油污分散系统和围油栏用于应对石油泄漏","新加坡海事及港务管理局","提高事件响应能力但未提及具体数据"
"无人机运送货物","北海","船舶运输排放","使用无人机替代船舶运输减少环境足迹","Equinor公司","减少CO2排放和避免船舶升降但未提及具体数据"
"危险材料移除","达喀尔港","硝酸铵存储爆炸风险","移除存储的硝酸铵防止污染和爆炸","达喀尔港当局","遵循国际规则提高安全但未提及具体数据"
"石油泄漏责任","毛里求斯沿海","船舶石油泄漏","清理油污和法律追责","Nagashiki Shipping和日本P&I Club","泄漏约1000吨燃料油清理成本估计但未提及具体数据"
"SOV设计批准","美国海上风电场","船舶排放","环保设计低燃料消耗","Vard Marine","提高可操作性和舒适度但未提及具体数据"
"电动推进系统","全球海洋特别是内陆水道和港口","船舶排放","使用电动和混合推进系统实现零排放","Torqeedo公司","减少排放和运营成本低但未提及具体数据"
"可持续发展官任命","全球海洋","船舶运营排放","专注于ESG事务推动可持续发展","Odfjell SE","有雄心目标但未提及具体数据"
"氨作为船用燃料","全球海洋","船舶温室气体排放","研发氨燃料船舶和供应设施减少CO2排放","NYK Line Japan Marine United Corporation ClassNK","零排放潜力但未提及具体数据"
"拖船推进创新","BC海岸","船舶排放","使用Z-drives和混合系统减少燃料消耗","North Arm Transportation","安装燃料监视器减少排放但未提及具体数据"
"石油泄漏响应协助","毛里求斯沿海","船舶石油泄漏","派遣官员和专家协助泄漏响应","日本环境省","协助清理但未提及具体数据"
"FLNG转换碳足迹减少","全球海洋","船舶建造和运营排放","转换现有LNG船为FLNG减少新材料使用和排放","Keppel Offshore & Marine","节省63343吨温室气体排放相当于减少13500辆汽车一年"
石油泄漏治理,委内瑞拉Falcon州海岸,船舶燃料箱泄漏,"清理计划，公司协助清理","Petroleos de Venezuela (PDVSA), Fundacion Azul Ambientalistas",石油泄漏影响海滩和海洋生物
海底采矿环境影响,国际水域深海,海底采矿活动,"国际海底管理局制定规则，环境监测，科学研究","国际海底管理局，各国政府",环境影响未知，需要更多研究
石油泄漏治理,毛里求斯海岸,船舶Wakashio泄漏,"泵出剩余燃料，清理","Nagashiki Shipping, 法国, 日本, 国际海事组织",泄漏1000吨油，大部分已移除
船舶沉没处理,毛里求斯海岸,船舶Wakashio,沉没船舶以避免进一步污染,毛里求斯政府,Greenpeace警告可能导致更多污染，长期生态损害
可再生能源转型,不特定,无,投资风电安装船,Scorpio Bulkers,预计年增长率15%，减少排放
燃料效率提升,不特定,船舶燃料消耗,安装Trim and Speed能源管理技术,"Wärtsilä, Brittany Ferries",燃料消耗减少4%，CO2排放减少2600吨
海洋探索技术,深海,无,"开发SeaRocket等工具用于数据收集和观测",HAWX Open Ocean,使海洋访问更 affordable，但未具体
零排放运输,华盛顿州水域,无,"设计电动或柴油电动水翼渡轮","华盛顿港口，Glosten, Bieker Boats等",柴油电动选项比传统渡轮燃料效率高2-3倍，每年减少1500吨CO2
邮轮环境技术,不特定,船舶排放,"选择性催化还原系统，混合废气清洗系统，废水处理，岸电","Fincantieri, MSC Cruises",减少氮氧化物90%，硫氧化物98%，废水处理标准高
船舶排放控制,全球海域,船舶废气,"开发洗涤器技术，探索氨燃料等",Yara Marine Technologies,减少硫氧化物等，但未具体
海洋塑料垃圾清理,北太平洋环流,塑料垃圾,"使用GPS跟踪器，无人机等清除垃圾",Ocean Voyages Institute,移除103吨垃圾
拖船排放减少,港口水域,拖船排放,"混合和电动推进系统，自动化",ABB Marine & Ports等,优化效率，减少排放，但未具体
可持续航运融资,不特定,船舶排放,"可持续发展绩效链接贷款，减少CO2排放","Klaveness Combination Carriers, Nordea, Credit Agricole CIB",目标到2030年碳中性，2030年IMO目标在2022年达到，绝对排放减少15%从2018到2022
LNG发动机维护,不特定,无,发动机大修，使用原装零件,"CSSC Marine Service Co, WinGD",在9天内完成大修
火灾后清理,圣迭戈海军基地,火灾,"紧急消防支持、脱水、安全和初始清理",NASSCO,预计2020年11月完成清理
绿色航运技术,全球海域,船舶排放,"使用CFD模拟优化船体和风力推进技术","Cape Horn Engineering, Windship Technology Ltd",风力推进可节省燃料10%-30%
LNG加注基础设施,不特定,无,"开发LNG加注船，使用混合动力系统","Kanfer Shipping, CGR Arctic Marine",提高效率，减少排放，但未具体
船舶搁浅石油泄漏风险,毛里求斯海岸,船舶Wakashio,"计划卸油后 refloat，使用拖船和 salvage 团队","Smit Salvage, CELERO, 毛里求斯当局",轻微油迹，未发生重大泄漏
主题,生态区域,污染来源,治理措施,实施主体,效果数据
石油泄漏治理,毛里求斯海岸,船舶燃料油泄漏,部署围油栏和泵出石油,毛里求斯国家危机委员会和日本公司,"泄漏约1000吨,大部分泵出,但仍有166吨"
石油泄漏紧急响应,毛里求斯东南海岸,船舶石油泄漏,宣布环境紧急状态和请求国际帮助,毛里求斯政府、法国和日本公司,"至少1000吨泄漏,500吨打捞,2500吨剩余"
减少船舶排放,全球海洋,船舶CO2排放,使用风帆系统减少燃料消耗,K Line、Airseas和ClassNK,"燃料经济性提高20%,CO2减少5200吨/年"
国际援助石油泄漏治理,毛里求斯,石油泄漏,印度发送技术设备和团队援助,印度政府和毛里求斯当局,"发送30吨设备,10人团队"
生态影响调查,毛里求斯近海,石油泄漏(怀疑),海豚尸体解剖调查,毛里求斯渔业部和环保组织,"27只海豚死亡,无石油痕迹但有伤"
社区参与石油泄漏治理,毛里求斯海岸,石油泄漏,使用头发和树叶制作围油栏,当地志愿者,未提供具体数据
船舶回收污染治理,全球(南亚和西非),船舶拆解有害废物,可持续拆解方法和国际框架,研究人员、船厂和政府,建模显示减少污染风险
航运碳排放增加,全球海洋,船舶CO2排放,IMO减排目标和政策加速技术,IMO、国家政府和行业,"CO2排放从962万吨增至1056万吨(2012-2018),份额从2.76%至2.89%"
石油泄漏治理和政府响应,毛里求斯,石油泄漏,志愿者制作围油栏和政府响应批评,志愿者和政府,未提供具体数据
发动机技术减少排放,全球海洋,船舶甲烷泄漏和燃料消耗,使用iCER系统减少甲烷排放和燃料消耗,WinGD,"甲烷排放减少50%,燃料消耗减少3%在气体模式和5%在柴油模式"
LNG发动机试验减少排放,全球海洋,船舶燃料排放,使用ME-GI发动机 with PVU and PBIV优化效率,MAN Energy Solutions、Eastern Pacific Shipping和CMA CGM,气体可用率大于98%和pilot-oil消耗减少至1.5%
石油泄漏法律响应,毛里求斯,石油泄漏,逮捕船长和清理工作,毛里求斯警察和法院,两名船员逮捕和清理开始
海洋洋流变化生态影响,佛罗里达洋流,无直接污染,研究监测方法,Woods Hole Oceanographic Institution,洋流110年来最弱
石油泄漏事件调查,毛里求斯,石油泄漏,船舶通过检查和公司合作,ClassNK和Mitsui OSK Lines,船舶通过年度检查无问题
石油泄漏运营商响应,毛里求斯,石油泄漏,运营商道歉和日本援助,Mitsui OSK Lines和日本政府,"至少1000吨泄漏,500吨打捞,2500吨剩余,日本发送6人团队"
石油泄漏治理进展,毛里求斯,石油泄漏,移除几乎所有石油,毛里求斯政府和salvage公司,几乎所有石油移除但有些残留
发动机性能分析减少排放,全球海洋,船舶发动机效率低,数据基础设施用于远程诊断和优化,Kongsberg Digital和ABB Turbocharging,完全自动化诊断系统
混合动力系统减少排放,全球海洋,船舶燃料消耗,混合电池解决方案和岸电连接,Kongsberg Maritime和Island Offshore,减少燃料消耗和运行成本并提高效率
工作船重新动力减少排放,科珀斯克里斯蒂港,旧发动机排放,重新动力使用高效发动机,Sea Level Marine和Land & Sea Services,"燃料消耗从500-600加仑/6小时减少到375加仑/6小时,速度提高到21节,排放合规"
风电安装船支持可再生能源,海上风电场,无直接污染,安装新起重机用于风电安装,Fred. Olsen Windcarrier和Huisman,起重机2022年安装并能处理下一代涡轮机
"石油泄漏治理","毛里求斯珊瑚礁","Wakashio散货船燃料油泄漏","拖走船首部分,移除剩余油,清理海岸线","毛里求斯政府,法国,日本,印度,Nagashiki Shipping","约1000吨油泄漏;大部分油被移除;清理工作持续"
"石油泄漏治理","毛里求斯珊瑚礁","Wakashio泄漏的燃料油","凿沉船首部分,使用围油栏和撇油操作,清理海岸线","毛里求斯国家危机委员会,法国,日本,印度","回收1122吨液体废物,792吨污染固体废物"
"石油泄漏治理","毛里求斯海岸","Wakashio泄漏","使用自制围油栏(甘蔗叶,塑料瓶,头发),真空吸油,国际援助","当地志愿者,毛里求斯政府,法国,日本","泄漏1000吨油,500吨被抢救"
"船舶排放治理","全球海洋","船舶温室气体排放","改进EEDI(能效设计指数),整合低碳酸燃料和创新技术","ABS,Vessel Performance Solutions,Arcsilea,欧盟委员会,IMO","研究阶段,无具体数据;目标是减少碳排放"
"石油泄漏法律框架","毛里求斯","Wakashio泄漏","国际公约(如Bunkers Convention)下的责任和赔偿","国际组织(IMO,UNCTAD),毛里求斯政府","法律分析,无具体环境数据"
"船舶发动机排放治理","全球","船舶发动机排放","使用SCR(选择性催化还原)技术减少氮氧化物排放","Caterpillar,Robert Allan Ltd.","符合EPA Tier 4 Final标准,减少排放"
"石油泄漏清理事故","毛里求斯","Wakashio泄漏","清理操作","清理团队","两人死亡,四人救援,两人失踪"
"替代燃料治理","全球","船舶燃料排放","使用甲醇作为低碳燃料","Lloyd's Register,Methanol Institute","减少硫和温室气体排放,符合IMO 2020法规"
"可持续捕捞","南极洲","捕捞活动","使用环保技术(热回收,电动组件),船上加工以减少浪费","Rimfrost,Kongsberg Maritime","减少环境影响,符合DNV GL Clean Design和IMO Polar Code"
"船舶CO2排放治理","全球海洋","船舶CO2排放","船上CO2捕获系统","K Line,Mitsubishi Shipbuilding,ClassNK","示范项目,无具体数据;目标是减少GHG排放"
"替代燃料治理","澳大利亚至中国航线","船舶排放","使用LNG作为燃料","BHP Group,供应商","减少温室气体排放30%以上"
"船舶排放治理","挪威","渡轮排放","使用混合动力系统(电池,生物柴油)","Norled,Remontowa船厂","减少温室气体排放"
"海洋环境监测","全球海洋","无特定","使用无人系统收集环境数据","美国海军,NOAA","改善hurricane预测等"
"过度捕捞治理","加拉帕戈斯群岛","过度捕捞","海军监视,区域合作","厄瓜多尔海军,哥伦比亚,秘鲁","340艘船;无具体治理效果"
"石油泄漏风险治理","也门红海","Safer油轮可能泄漏","技术评估和维修","联合国,胡塞组织","防止潜在泄漏(110万桶原油)"
"油轮燃料泄漏治理","斯里兰卡东海岸","油轮火灾导致的燃料泄漏","打捞团队试图堵塞泄漏，清空油箱并修复泄漏","斯里兰卡海军, MEPA, SMIT Singapore Pte Ltd","未量化"
"北极船舶燃料禁令","北极","船舶使用重燃料油（HFO）","禁止使用和运输HFO，但豁免多","国际海事组织（IMO）","74%的船舶可能继续使用HFO，仅减少30%的HFO携带和16%的使用，黑碳排放减少5%"
